14	7	E	-1.851901320137435E7	200
emissionprobs	9	6	PolII	0	0.3797445342209588
emissionprobs	9	6	PolII	1	0.6202554657790412
emissionprobs	10	0	ATAC	0	0.043991787361415846
emissionprobs	10	0	ATAC	1	0.9560082126385842
emissionprobs	10	1	CTCF	0	0.9284048597929463
emissionprobs	10	1	CTCF	1	0.07159514020705364
emissionprobs	10	2	H3K27ac	0	0.9504323432938659
emissionprobs	10	2	H3K27ac	1	0.049567656706134146
emissionprobs	10	3	H3K27me3	0	0.9964471095642815
emissionprobs	10	3	H3K27me3	1	0.0035528904357185255
emissionprobs	10	4	H3K4me1	0	0.2655656315084854
emissionprobs	10	4	H3K4me1	1	0.7344343684915146
emissionprobs	10	5	H3K4me3	0	0.9744188601104617
emissionprobs	10	5	H3K4me3	1	0.02558113988953812
emissionprobs	10	6	PolII	0	0.8675829047031122
emissionprobs	10	6	PolII	1	0.13241709529688786
emissionprobs	11	0	ATAC	0	0.8761431760493872
emissionprobs	11	0	ATAC	1	0.12385682395061279
emissionprobs	11	1	CTCF	0	0.8995762461180223
emissionprobs	11	1	CTCF	1	0.10042375388197772
emissionprobs	11	2	H3K27ac	0	0.8723449008572077
emissionprobs	11	2	H3K27ac	1	0.12765509914279222
emissionprobs	11	3	H3K27me3	0	0.986944770632236
emissionprobs	11	3	H3K27me3	1	0.01305522936776411
emissionprobs	11	4	H3K4me1	0	0.36167820989594507
emissionprobs	11	4	H3K4me1	1	0.6383217901040549
emissionprobs	11	5	H3K4me3	0	0.05656137476763093
emissionprobs	11	5	H3K4me3	1	0.9434386252323691
emissionprobs	11	6	PolII	0	0.9470131564906925
emissionprobs	11	6	PolII	1	0.05298684350930746
emissionprobs	12	0	ATAC	0	0.7471771016592682
emissionprobs	12	0	ATAC	1	0.2528228983407318
emissionprobs	12	1	CTCF	0	0.832263329403859
emissionprobs	12	1	CTCF	1	0.1677366705961409
emissionprobs	12	2	H3K27ac	0	0.08134822091717067
emissionprobs	12	2	H3K27ac	1	0.9186517790828294
emissionprobs	12	3	H3K27me3	0	0.9779002933083275
emissionprobs	12	3	H3K27me3	1	0.022099706691672546
emissionprobs	12	4	H3K4me1	0	0.0407238980724648
emissionprobs	12	4	H3K4me1	1	0.9592761019275351
emissionprobs	12	5	H3K4me3	0	0.008168683595514434
emissionprobs	12	5	H3K4me3	1	0.9918313164044856
emissionprobs	12	6	PolII	0	0.5884193314129025
emissionprobs	12	6	PolII	1	0.4115806685870974
emissionprobs	13	0	ATAC	0	0.5467009856791991
emissionprobs	13	0	ATAC	1	0.4532990143208009
emissionprobs	13	1	CTCF	0	0.8119803409570745
emissionprobs	13	1	CTCF	1	0.18801965904292547
emissionprobs	13	2	H3K27ac	0	0.05274173281956247
emissionprobs	13	2	H3K27ac	1	0.9472582671804375
emissionprobs	13	3	H3K27me3	0	0.9897113211363584
emissionprobs	13	3	H3K27me3	1	0.010288678863641588
emissionprobs	13	4	H3K4me1	0	0.9801674978545198
emissionprobs	13	4	H3K4me1	1	0.01983250214548017
emissionprobs	13	5	H3K4me3	0	0.011333342105724507
emissionprobs	13	5	H3K4me3	1	0.9886666578942755
emissionprobs	13	6	PolII	0	0.575246835979516
emissionprobs	13	6	PolII	1	0.4247531640204839
emissionprobs	14	0	ATAC	0	0.8705079620335605
emissionprobs	14	0	ATAC	1	0.12949203796643938
emissionprobs	14	1	CTCF	0	0.09978477686588837
emissionprobs	14	1	CTCF	1	0.9002152231341116
emissionprobs	14	2	H3K27ac	0	0.9920154873758313
emissionprobs	14	2	H3K27ac	1	0.007984512624168716
emissionprobs	14	3	H3K27me3	0	0.9805590594853418
emissionprobs	14	3	H3K27me3	1	0.01944094051465812
emissionprobs	14	4	H3K4me1	0	0.8655190193140846
emissionprobs	14	4	H3K4me1	1	0.13448098068591538
emissionprobs	14	5	H3K4me3	0	0.9904678082354917
emissionprobs	14	5	H3K4me3	1	0.009532191764508185
emissionprobs	14	6	PolII	0	0.9723904323452073
emissionprobs	14	6	PolII	1	0.027609567654792593
